nigp_class_3digit,canonical_description,distinct_5digit,distinct_10digit,row_count,source
405,VARIOUS FUEL TAXES AND FEES - FEDERAL LEAKING UNDERGROUND STORAGE TANK (LUST) TAX FREE PER/GALLON,10,43,28787,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
420,MATTRESS - MATTRESS STANDARD 25x 75 x 5 SEALED SEAM EXTREME DUTY RIP STOP FLAT DESIGN (WITHOUT THE BUILT IN PILLOW),2,7,8,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
425,"FURNITURE, GENERAL, SEATING - SITMATIC SUPER BETA 2 CHAIR",1,3,29,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
430,"GASES, MEDICAL - OXYGEN K, USP (249 CFT)",4,17,1591,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
450,"PARTS, MISCELLANEOUS DOOR - LUBRICANT, SPRAY, SILICONE, 16 OZ",4,60,1475,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
465,CARDIOVASCULAR INSTRUMENTATION (AED) - AED INSPECTION TAGS AS SPECIFIED,2,14,61,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
485,"JANITORIAL SUPPLIES & EQUIPMENT - EPA CPG COMPLIANT PLASTIC RECEPTACLE LINERS - 36-INCH X 58-INCH BLACK LINER, 2 MIL, COASTWIDE LABORATORIES NO. HLL3658200B OR APPROVED EQUAL -100 LINERS PER CASE - PRICE PER CASE",1,47,240,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
493,"SPECTROMETERS - 5100 ICP-OES SYSTEM - PREVENTIVE MAINTENANCE AND REPAIR SERVICE, YEAR ONE (1)",1,1,2,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
495,"LITTER, ANIMAL - ANIMAL NON - CLUMPING NON-SCOOPING ANIMAL LITTER THAT IS 99% DUST FREE MILD FRAGRANCE - 50LB BAG",1,1,10,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
525,"LABOR, LIBRARY - LABOR FOR MINIMAL ASSEMBLY OF LIBRARY CONSUMABLE SUPPLIES DURING REGULAR BUSINESS HOURS (BOOK CART, DISPLAY, ETC,)",2,2,32,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
